Size Of Map, 40
Number of rows,10
Number of Cols,4
Coordinates of Blocks :
block number, min_ra,max_ra,min_decl,max_decl
0,0.636593845123,90.4774431636,-6.85423482668,-5.53271218575
1,0.636593845123,90.4774431636,-5.53271218575,-4.21118954482
2,0.636593845123,90.4774431636,-4.21118954482,-2.88966690389
3,0.636593845123,90.4774431636,-2.88966690389,-1.56814426296
4,0.636593845123,90.4774431636,-1.56814426296,-0.246621622029
5,0.636593845123,90.4774431636,-0.246621622029,1.0749010189
6,0.636593845123,90.4774431636,1.0749010189,2.39642365983
7,0.636593845123,90.4774431636,2.39642365983,3.71794630076
8,0.636593845123,90.4774431636,3.71794630076,5.03946894169
9,0.636593845123,90.4774431636,5.03946894169,6.36099158262
10,90.4774431636,180.318292482,-6.85423482668,-5.53271218575
11,90.4774431636,180.318292482,-5.53271218575,-4.21118954482
12,90.4774431636,180.318292482,-4.21118954482,-2.88966690389
13,90.4774431636,180.318292482,-2.88966690389,-1.56814426296
14,90.4774431636,180.318292482,-1.56814426296,-0.246621622029
15,90.4774431636,180.318292482,-0.246621622029,1.0749010189
16,90.4774431636,180.318292482,1.0749010189,2.39642365983
17,90.4774431636,180.318292482,2.39642365983,3.71794630076
18,90.4774431636,180.318292482,3.71794630076,5.03946894169
19,90.4774431636,180.318292482,5.03946894169,6.36099158262
20,180.318292482,270.159141801,-6.85423482668,-5.53271218575
21,180.318292482,270.159141801,-5.53271218575,-4.21118954482
22,180.318292482,270.159141801,-4.21118954482,-2.88966690389
23,180.318292482,270.159141801,-2.88966690389,-1.56814426296
24,180.318292482,270.159141801,-1.56814426296,-0.246621622029
25,180.318292482,270.159141801,-0.246621622029,1.0749010189
26,180.318292482,270.159141801,1.0749010189,2.39642365983
27,180.318292482,270.159141801,2.39642365983,3.71794630076
28,180.318292482,270.159141801,3.71794630076,5.03946894169
29,180.318292482,270.159141801,5.03946894169,6.36099158262
30,270.159141801,359.999991119,-6.85423482668,-5.53271218575
31,270.159141801,359.999991119,-5.53271218575,-4.21118954482
32,270.159141801,359.999991119,-4.21118954482,-2.88966690389
33,270.159141801,359.999991119,-2.88966690389,-1.56814426296
34,270.159141801,359.999991119,-1.56814426296,-0.246621622029
35,270.159141801,359.999991119,-0.246621622029,1.0749010189
36,270.159141801,359.999991119,1.0749010189,2.39642365983
37,270.159141801,359.999991119,2.39642365983,3.71794630076
38,270.159141801,359.999991119,3.71794630076,5.03946894169
39,270.159141801,359.999991119,5.03946894169,6.36099158262
block number,nbLines
39,88
33,1663426
32,1576480
37,31580
34,41974
1,768374
0,829527
3,4373
5,238422
4,2
7,594462
6,17372
9,972353
8,225491
